City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Auki,-8.7676,160.7034,76.62,86,99,3.44,SB,2021-11-27 15:50:06
1,Atuona,-9.8,-139.0333,77.63,78,11,19.6,PF,2021-11-27 15:50:16
2,Bathsheba,13.2167,-59.5167,86.61,70,20,11.5,BB,2021-11-27 15:52:49
3,Ardakan,32.31,54.0175,61.18,39,44,4.21,IR,2021-11-27 15:52:50
4,Ushuaia,-54.8,-68.3,51.42,57,40,6.91,AR,2021-11-27 15:49:27
5,Caravelas,-17.7125,-39.2481,86.59,51,90,6.96,BR,2021-11-27 15:52:50
6,Liepaja,56.5419,21.0367,37.38,93,90,6.91,LV,2021-11-27 15:52:51
7,Kapaa,22.0752,-159.319,66.52,88,1,8.05,US,2021-11-27 15:52:51
8,Provideniya,64.3833,-173.3,-5.19,84,4,5.46,RU,2021-11-27 15:52:52
9,Castro,-24.7911,-50.0119,78.19,50,4,7.9,BR,2021-11-27 15:51:39
10,Albany,42.6001,-73.9662,27.25,59,12,15.75,US,2021-11-27 15:47:31
11,Luderitz,-26.6481,15.1594,67.12,69,2,10.07,NA,2021-11-27 15:49:42
12,Zhigansk,66.7697,123.3711,-1.86,96,100,4.21,RU,2021-11-27 15:52:53
13,Victoria,22.2855,114.1577,69.85,70,8,15.46,HK,2021-11-27 15:50:05
14,Vaini,-21.2,-175.2,78.96,94,75,5.75,TO,2021-11-27 15:51:34
15,Jiuquan,39.7432,98.5174,25.72,59,78,5.97,CN,2021-11-27 15:52:53
16,Severo-Kurilsk,50.6789,156.125,29.12,73,97,23.17,RU,2021-11-27 15:52:54
17,Hobart,-42.8794,147.3294,46.26,87,0,5.75,AU,2021-11-27 15:52:54
18,Half Moon Bay,37.4636,-122.4286,48.06,90,20,0.0,US,2021-11-27 15:51:51
19,Paracuru,-3.41,-39.0306,89.62,58,25,12.97,BR,2021-11-27 15:48:12
20,Hilo,19.7297,-155.09,65.93,68,75,6.91,US,2021-11-27 15:50:37
21,Syzran,53.1585,48.4681,22.28,85,11,7.72,RU,2021-11-27 15:52:55
22,Thompson,55.7435,-97.8558,21.36,93,90,3.44,CA,2021-11-27 15:48:50
23,Ponta Do Sol,32.6667,-17.1,65.03,66,17,6.17,PT,2021-11-27 15:50:23
24,Cabedelo,-6.9811,-34.8339,88.47,62,70,12.21,BR,2021-11-27 15:52:56
25,Tuktoyaktuk,69.4541,-133.0374,-7.6,77,90,20.71,CA,2021-11-27 15:50:10
26,Kodiak,57.79,-152.4072,8.11,72,75,4.61,US,2021-11-27 15:52:56
27,Shubarshi,48.5872,57.1869,23.18,81,100,9.46,KZ,2021-11-27 15:52:57
28,Tabou,4.423,-7.3528,83.37,69,28,8.25,CI,2021-11-27 15:52:57
29,Santa Maria,-29.6842,-53.8069,74.5,78,75,3.44,BR,2021-11-27 15:50:27
30,Monte Patria,-30.6919,-70.9467,74.3,44,0,7.65,CL,2021-11-27 15:52:58
31,Cavalcante,-13.7975,-47.4583,83.25,55,26,9.55,BR,2021-11-27 15:52:58
32,Rikitea,-23.1203,-134.9692,76.26,75,2,16.55,PF,2021-11-27 15:48:52
33,Tasiilaq,65.6145,-37.6368,24.22,74,100,4.38,GL,2021-11-27 15:51:33
34,Saint Anthony,45.0205,-93.218,33.64,54,75,4.61,US,2021-11-27 15:52:59
35,Meulaboh,4.1363,96.1285,77.4,87,100,5.01,ID,2021-11-27 15:52:59
36,Bredasdorp,-34.5322,20.0403,72.45,49,62,11.74,ZA,2021-11-27 15:50:07
37,Lichinga,-13.3128,35.2406,67.68,64,99,5.21,MZ,2021-11-27 15:53:00
38,Salalah,17.0151,54.0924,80.69,69,0,3.44,OM,2021-11-27 15:48:55
39,Newport,51.5877,-2.9984,41.54,66,11,26.02,GB,2021-11-27 15:53:00
40,Butaritari,3.0707,172.7902,81.52,77,99,19.08,KI,2021-11-27 15:48:54
41,Blumenau,-26.9194,-49.0661,80.35,50,54,2.1,BR,2021-11-27 15:53:01
42,Mataura,-46.1927,168.8643,37.47,99,86,1.77,NZ,2021-11-27 15:48:47
43,Bambous Virieux,-20.3428,57.7575,79.05,69,20,8.05,MU,2021-11-27 15:53:02
44,Punta Arenas,-53.15,-70.9167,53.71,37,75,12.66,CL,2021-11-27 15:44:37
45,Cape Town,-33.9258,18.4232,68.41,77,75,24.16,ZA,2021-11-27 15:47:59
46,Bluff,-46.6,168.3333,44.87,82,58,7.0,NZ,2021-11-27 15:50:08
47,Chuy,-33.6971,-53.4616,72.27,71,99,10.69,UY,2021-11-27 15:49:01
48,Hasaki,35.7333,140.8333,41.4,49,8,16.28,JP,2021-11-27 15:51:41
49,Broome,42.2506,-75.833,29.17,71,100,15.17,US,2021-11-27 15:53:03
50,Okha,53.5739,142.9478,21.92,89,36,10.85,RU,2021-11-27 15:54:03
51,Jamestown,42.097,-79.2353,31.59,69,90,11.5,US,2021-11-27 15:51:23
52,Port Alfred,-33.5906,26.891,69.3,90,64,26.15,ZA,2021-11-27 15:54:04
53,Chokurdakh,70.6333,147.9167,-34.35,100,70,2.68,RU,2021-11-27 15:54:04
54,Rosarito,32.3333,-117.0333,52.77,39,0,1.28,MX,2021-11-27 15:54:05
55,Muroto,33.2833,134.15,50.36,53,1,12.06,JP,2021-11-27 15:54:06
56,Le Port,-20.9373,55.2919,78.76,84,94,3.06,RE,2021-11-27 15:54:06
57,Katsuura,35.1333,140.3,50.02,55,50,9.48,JP,2021-11-27 15:54:06
58,Hithadhoo,-0.6,73.0833,82.78,69,97,18.28,MV,2021-11-27 15:51:36
59,Bethel,41.3712,-73.414,39.29,48,75,13.8,US,2021-11-27 15:49:00
60,Saint George,37.1041,-113.5841,39.67,44,1,0.0,US,2021-11-27 15:49:34
61,Ilulissat,69.2167,-51.1,16.48,83,100,10.54,GL,2021-11-27 15:50:11
62,Busselton,-33.65,115.3333,65.43,65,0,6.67,AU,2021-11-27 15:49:02
63,Qaanaaq,77.484,-69.3632,1.36,96,100,2.77,GL,2021-11-27 15:54:08
64,Boyolangu,-8.1181,111.8935,77.52,89,100,4.97,ID,2021-11-27 15:54:08
65,Langxiang,46.95,128.8833,9.7,92,35,2.77,CN,2021-11-27 15:54:09
66,Gerardmer,48.0735,6.8779,33.64,87,94,7.07,FR,2021-11-27 15:54:09
67,Acari,-15.4311,-74.6158,74.89,66,82,8.99,PE,2021-11-27 15:54:10
68,Nioro,13.35,-15.75,98.51,16,96,9.28,GM,2021-11-27 15:54:10
69,Yellowknife,62.456,-114.3525,-8.88,84,20,9.22,CA,2021-11-27 15:51:30
70,New Norfolk,-42.7826,147.0587,45.9,96,0,3.15,AU,2021-11-27 15:48:57
71,Tiksi,71.6872,128.8694,-9.49,99,90,6.8,RU,2021-11-27 15:54:11
72,Yulara,-25.2406,130.9889,69.64,37,0,6.91,AU,2021-11-27 15:54:11
73,Aklavik,68.2191,-135.0107,-8.68,70,40,14.97,CA,2021-11-27 15:54:12
74,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,85.8,74,40,6.91,BR,2021-11-27 15:54:12
75,Port Blair,11.6667,92.75,81.07,80,12,10.16,IN,2021-11-27 15:54:13
76,Yar-Sale,66.8333,70.8333,6.84,96,100,5.59,RU,2021-11-27 15:54:14
77,Beauceville,46.2179,-70.7787,22.66,80,100,0.0,CA,2021-11-27 15:54:14
78,Valleyview,55.0667,-117.2859,17.4,87,21,5.57,CA,2021-11-27 15:54:14
79,Kavieng,-2.5744,150.7967,82.26,72,74,2.33,PG,2021-11-27 15:54:15
80,Dakoro,14.5106,6.765,92.37,8,30,12.91,NE,2021-11-27 15:54:15
81,Hermanus,-34.4187,19.2345,68.16,62,98,21.47,ZA,2021-11-27 15:48:51
82,Lata,40.1629,-8.3327,52.21,50,9,13.94,PT,2021-11-27 15:54:16
